iter	Passed	Remaining
0	82	82323
1	108	54158
2	133	44502
3	160	40051
4	186	37156
5	213	35322
6	240	34081
7	265	32925
8	293	32265
9	321	31815
10	349	31440
11	377	31106
12	405	30755
13	431	30395
14	459	30152
15	485	29828
16	512	29650
17	541	29518
18	565	29210
19	590	28928
20	614	28668
21	642	28566
22	669	28438
23	695	28268
24	721	28129
25	748	28042
26	776	27969
27	803	27885
28	828	27724
29	856	27687
30	880	27534
31	907	27446
32	932	27330
33	959	27257
34	985	27169
35	1011	27089
36	1036	26974
37	1061	26862
38	1087	26790
39	1113	26729
40	1140	26681
41	1167	26620
42	1192	26547
43	1220	26507
44	1246	26456
45	1273	26410
46	1299	26348
47	1326	26308
48	1353	26261
49	1379	26207
50	1405	26150
51	1432	26121
52	1458	26068
53	1487	26051
54	1511	25977
55	1539	25943
56	1564	25887
57	1588	25798
58	1615	25759
59	1641	25719
60	1668	25689
61	1695	25652
62	1722	25623
63	1751	25613
64	1777	25567
65	1803	25517
66	1829	25482
67	1854	25413
68	1880	25368
69	1905	25321
70	1930	25263
71	1955	25209
72	1980	25151
73	2006	25113
74	2032	25072
75	2056	25005
76	2083	24976
77	2110	24949
78	2137	24916
79	2164	24894
80	2190	24849
81	2216	24815
82	2240	24756
83	2266	24713
84	2292	24674
85	2316	24624
86	2343	24594
87	2371	24572
88	2397	24536
89	2423	24499
90	2447	24452
91	2475	24431
92	2502	24406
93	2528	24370
94	2554	24337
95	2580	24295
96	2604	24244
97	2628	24191
98	2653	24153
99	2680	24127
100	2706	24089
101	2733	24064
102	2760	24040
103	2784	23987
104	2809	23945
105	2835	23910
106	2859	23866
107	2886	23837
108	2913	23813
109	2938	23773
110	2962	23728
111	2989	23698
112	3014	23659
113	3040	23630
114	3065	23594
115	3093	23572
116	3119	23542
117	3146	23517
118	3172	23486
119	3200	23466
120	3227	23449
121	3254	23420
122	3281	23394
123	3307	23369
124	3332	23329
125	3359	23300
126	3386	23281
127	3414	23258
128	3438	23215
129	3466	23199
130	3492	23169
131	3520	23149
132	3547	23123
133	3572	23085
134	3598	23055
